2019-04-30 09:19:20.506 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.spring.xnpool.bmpos.tasks.bmpostasks.mapper.ConnTestCase], using SpringBootContextLoader
2019-04-30 09:19:20.523 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.spring.xnpool.bmpos.tasks.bmpostasks.mapper.ConnTestCase]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-30 09:19:20.525 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.spring.xnpool.bmpos.tasks.bmpostasks.mapper.ConnTestCase]: ConnTestCase does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-30 09:19:20.938 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.spring.xnpool.bmpos.tasks.bmpostasks.BmposTasksApplication for test class com.spring.xnpool.bmpos.tasks.bmpostasks.mapper.ConnTestCase
2019-04-30 09:19:21.779 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-30 09:19:21.822 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@66213a0d, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@aa4d8cc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3cb8c8ce, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1fde0371, org.springframework.test.context.support.DirtiesContextTestExecutionListener@70c0a3d5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5c8e67b9, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@260a3a5e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@49206065, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3c0bbc9f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1317b708, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6438a7fe, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2e51d054]
2019-04-30 09:19:23.468 [main] INFO  c.s.x.bmpos.tasks.bmpostasks.mapper.ConnTestCase - Starting ConnTestCase on DDL93R993LR5GG2 with PID 3728 (started by Administrator in F:\git-works\bmpos-tasks)
2019-04-30 09:19:23.475 [main] INFO  c.s.x.bmpos.tasks.bmpostasks.mapper.ConnTestCase - No active profile set, falling back to default profiles: default
2019-04-30 09:19:27.934 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-04-30 09:19:27.940 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-04-30 09:19:28.355 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 381ms. Found 0 repository interfaces.
