20190410 16:59:43.956 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113007, hash 0bc1fa30c3e8, edge_bits 29, nonce 42350737304908950222, job_id 1, difficulty 1937/4903, submitted by GrinPool
20190410 16:59:44.325 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113007, hash 57cd392adcbb, edge_bits 29, nonce 167436917714461354642, job_id 1, difficulty 259/4903, submitted by GrinPool
20190410 16:59:52.839 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113008, hash aa0679bfe2c5, edge_bits 29, nonce 1427858229244569748, job_id 0, difficulty 132/4954, submitted by GrinPool
20190410 16:59:58.768 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113008, hash 856c9340d26b, edge_bits 29, nonce 2413921875505591024, job_id 0, difficulty 168/4954, submitted by GrinPool
20190410 16:59:58.961 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113008, hash 73aa8843679b, edge_bits 29, nonce 1994671645978519705, job_id 0, difficulty 194/4954, submitted by GrinPool
20190410 16:59:43.956 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113007, hash 0bc1fa30c3e8, edge_bits 29, nonce 42350737304908950222, job_id 1, difficulty 1937/4903, submitted by GrinPool
20190410 16:59:44.325 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113007, hash 57cd392adcbb, edge_bits 29, nonce 167436917714461354642, job_id 1, difficulty 259/4903, submitted by GrinPool
20190410 16:59:52.839 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113008, hash aa0679bfe2c5, edge_bits 29, nonce 1427858229244569748, job_id 0, difficulty 132/4954, submitted by GrinPool
20190410 16:59:58.768 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113008, hash 856c9340d26b, edge_bits 29, nonce 2413921875505591024, job_id 0, difficulty 168/4954, submitted by GrinPool
20190410 16:59:58.961 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113008, hash 73aa8843679b, edge_bits 29, nonce 1994671645978519705, job_id 0, difficulty 194/4954, submitted by GrinPool
20190410 18:02:03.567 ERROR grin_servers::mining::stratumserver - (Server ID: 0) Share at height 113077, edge_bits 29, nonce 4285633783677890086, job_id 13 submitted too late
20190410 18:02:05.189 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113078, hash 653cf99769af, edge_bits 29, nonce 1844043969955250483, job_id 0, difficulty 212/5731, submitted by GrinPool
20190410 18:02:12.880 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113078, hash be92d1dfe26d, edge_bits 29, nonce 4210803451344426424, job_id 0, difficulty 112/5731, submitted by GrinPool
20190410 18:02:15.289 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113079, hash 382345323e9a, edge_bits 29, nonce 1794766731136821907, job_id 0, difficulty 383/5632, submitted by GrinPool
20190410 18:02:19.340 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113079, hash b3ba5ad86356, edge_bits 29, nonce 1903624573200321621, job_id 0, difficulty 119/5632, submitted by GrinPool
20190410 18:02:21.997 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113079, hash 8ac505a398ce, edge_bits 29, nonce 3507656873479997850, job_id 0, difficulty 154/5632, submitted by GrinPool
20190410 18:02:23.291 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113079, hash e325f5469494, edge_bits 29, nonce 835449686516581546, job_id 0, difficulty 94/5632, submitted by GrinPool
20190410 18:02:23.413 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113079, hash 9eaf0de478d1, edge_bits 29, nonce 2898744720137037637, job_id 0, difficulty 135/5632, submitted by GrinPool
20190410 18:02:03.567 ERROR grin_servers::mining::stratumserver - (Server ID: 0) Share at height 113077, edge_bits 29, nonce 4285633783677890086, job_id 13 submitted too late
20190410 18:02:05.189 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113078, hash 653cf99769af, edge_bits 29, nonce 1844043969955250483, job_id 0, difficulty 212/5731, submitted by GrinPool
20190410 18:02:12.880 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113078, hash be92d1dfe26d, edge_bits 29, nonce 4210803451344426424, job_id 0, difficulty 112/5731, submitted by GrinPool
20190410 18:02:15.289 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113079, hash 382345323e9a, edge_bits 29, nonce 1794766731136821907, job_id 0, difficulty 383/5632, submitted by GrinPool
20190410 18:02:19.340 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113079, hash b3ba5ad86356, edge_bits 29, nonce 1903624573200321621, job_id 0, difficulty 119/5632, submitted by GrinPool
20190410 18:02:21.997 INFO grin_servers::mining::stratumserver - (Server ID: 0) Got share at height 113079, hash 8ac505a398ce, edge_bits 29, nonce 3507656873479997850, job_id 0, difficulty 154/5632, submitted by GrinPool
